ID,Source,Geolocation,Location,State,Sightning date,Post date,Abund,Size,Ecological relation/Other strandings,Human interaction/Accident,Age,Sex,Site,URL 1,URL 2,URL 3,URL 4,URL 5
90,SM,,"praia de Carneiros, próximo de Porto de Galinhas",PE,,10/31/2018,,,,,,,,https://www.instagram.com/p/BpmUrx2FJU6/,,,,
91,SM,João Pessoa,,PB,,11/1/2018,,,,,,,,https://www.instagram.com/p/BppwmQDATHO/,,,,
92,SM,Itapoá,,SC,,11/6/2018,,,,,,,,https://www.instagram.com/p/Bp2Uzlfg1rE/,,,,
93,SM,São Francisco do Sul,,SC,,11/6/2018,,,,,,,,https://www.instagram.com/p/Bp1mWOlHLnF/,,,,
94,SM,Bombinhas Beach,,SC,,11/9/2018,,,,,,,,https://www.instagram.com/p/Bp92IrWlvsZ/,,,,
95,SM,"Boqueirão Sul, Ilha Comprida, Sp.",Cananéia,SP,,11/9/2018,3,,,,,,,https://www.instagram.com/p/Bp92o8Vn-Av/,,,,
96,SM,,"Cruz das Almas, Maceió, Alagoas",AL,,11/9/2018,,,,,,,,https://www.instagram.com/p/Bp8UqQ-hbrY/,,,,
97,SM,"Barra Do Itariri, Bahia, Brazil",,BA,,11/9/2018,,,,,,,,https://www.instagram.com/p/Bp9hUNwlcIt/,,,,
98,SM,São Francisco do Sul,,SC,,11/10/2018,emabundância,,,,,,,https://www.instagram.com/p/BqAbET_HFCN/,,,,
99,SM,Praia Da Lagoinha Do Norte,,SC,11/11/2018 0:00,11/11/2018,muitas,,,,,,,https://www.instagram.com/p/BqD4geAgV0K/,,,,
100,SM,"Campeche, Santa Catarina, Brazil",,SC,,11/11/2018,,,,,,,,https://www.instagram.com/p/BqCeMGNgSM-/,,,,
101,SM,Brasil,Aracaju,SE,,11/13/2018,,,,,,,,https://www.instagram.com/p/BqJIC_wh5b6/,,,,
102,SM,,"Praia da Ferrugem, Santa Catarina",SC,,11/16/2018,,,,,,,,https://www.instagram.com/p/BqQdLZeFu2y/,,,,
103,SM,Praia de Aruana,,SE,,11/17/2018,,,,,,,,https://www.instagram.com/p/BqTE3rNhbLt/,,,,
104,SM,Praia de Ponta Verde,,AL,,11/17/2018,,,,,,,,https://www.instagram.com/p/BqR0MRHhSQa/,,,,
105,SM,Itapema,,SC,,11/18/2018,,,,,,,,https://www.instagram.com/p/BqTidKJB2Wn/,,,,
106,SM,"Francês, Alagoas, Brazil",,AL,,11/20/2018,,,,,,,,https://www.instagram.com/p/BqaC6zThgkh/,,,,
107,SM,"Pôrto Das Galinhas, Pernambuco, Brazil",,PE,,11/21/2018,,,,,,,,https://www.instagram.com/p/BqcmGLwBYCp/,,,,
108,SM,,"Pipa, Rio Grando do Norte",RN,,11/22/2018,,,,,,,,https://www.instagram.com/p/BqgOygPlp5n/,,,,
109,SM,Ilha De Boipeba,Praia de Tassimirim,BA,,11/23/2018,,,,,,,,https://www.instagram.com/p/BqhDnVAHjB2/,,,,
110,SM,Praia de Jurerê Internacional,,SC,11/23/2018 0:00,11/23/2018,,,,,,,,https://www.instagram.com/p/BqiUhJjgk9E/,,,,
111,SM,Japaratinga,,AL,,11/24/2018,,,,,,,,https://www.instagram.com/p/BqjtyPmltnJ/,,,,
112,SM,Ilha de Guriri Espírito Santo,,ES,11/25/2018 0:00,11/25/2018,,,,,,,,https://www.instagram.com/p/BqnP9MKlLrb/,,,,
113,SM,Porto De Galinhas - PE,,PE,11/27/2018 0:00,11/27/2018,1,,,1 accident,,M,,https://www.instagram.com/p/BqtApnNnqQN/,,,,
114,SM,Maceió,,AL,,11/29/2018,,,,,,,,https://www.instagram.com/p/BqxUudylYw8/,,,,
115,SM,Natal,,RN,,11/30/2018,muitas,,,,,,,https://www.instagram.com/p/Bqzm3LegE0j/,,,,
116,SM,,Praia de Maracajaú,RN,,11/30/2018,,,,,,,,https://www.instagram.com/p/BqzmTblgM02/,,,,
117,SM,,Praia Brava Matinhos,PR,12/2/2018 0:00,12/3/2018,9,,,,,,,https://www.instagram.com/p/Bq7WaJbBhtZ/,,,,
118,SM,Maceió,,AL,,12/5/2018,,,,,,,,https://www.instagram.com/p/BrAgaurBle8/,,,,
119,SM,Praia Central,Praia Central e Paraguaios,PR,,12/7/2018,,,,,,,,https://www.instagram.com/p/BrFz7oAlj5v/,,,,
120,SM,Riviera de São Lourenço,,SP,12/10/2018 0:00,6/18/2019,,,,,,,,https://www.instagram.com/p/By2bI3MhrIL/,,,,
121,SM,Praia de Busca Vida,,BA,,12/11/2018,,,,,,,,https://www.instagram.com/p/BrP3FUKDsNN/,,,,
122,SM,Praia do Madeiro,Rio Grande do Norte,RN,,12/12/2018,,,,,,,,https://www.instagram.com/p/BrSwSyGlNaW/,,,,
123,SM,Praia Grande,,SP,12/16/2018 0:00,12/17/2018,1,,,,,,,https://www.instagram.com/p/BrfTTtqA79O/,,,,
124,SM,"Praia De Peroba, Maragogi, Alagoas",,AL,,12/16/2018,,,,,,,,https://www.instagram.com/p/BrdAXagBKSO/,,,,
125,SM,,Florianópolis,SC,,12/17/2018,,,,,,,,https://www.instagram.com/p/Brfo9NwBnrS/,,,,
126,SM,Peruíbe,,SP,,12/17/2018,,,,,,,,https://www.instagram.com/p/BrfUjiDBW9h/,,,,
127,SM,Ilha de Itamaracá,,PE,,12/28/2018,,,,,,,,https://www.instagram.com/p/Br7XzG5nQwx/,,,,
128,SM,"Boa Viagem, Pernambuco, Brazil",,PE,,12/30/2018,,,,,,,,https://www.instagram.com/p/BsApk_tHMbd/,,,,
129,SM,,Ilha de São Francisco Itaguaçu,SC,,12/30/2018,,,,,,,,https://www.instagram.com/p/BsBug3VAGdY/,,,,
130,SM,Jurerê Internacional,,SC,12/31/2018 0:00,12/31/2018,,,,,,,,https://www.instagram.com/p/BsDM-8UFJFK/,,,,
131,SM,São Francisco do Sul,,SC,2019,2/6/2021,,,,,,,,https://www.instagram.com/p/CK9VZygHF60/,,,,
132,SM,Txai Resort Hotel,Itacaré,BA,,1/1/2019,,,,,,,,https://www.instagram.com/p/BsHMYT_HCwR/,,,,
133,SM,"Lagoinha do Norte, Floripa",,SC,,1/2/2019,2,,,,,,,https://www.instagram.com/p/BsINsB0FFdu/,,,,
134,SM,Baía da Traição,,PB,,2/2/2019,,,,,,,,https://www.instagram.com/p/BtYM0ZNl05t/,,,,
135,SM,Patachocas Eco Resort,Morro de São Paulo,SP,,1/5/2019,,,,,,,,https://www.instagram.com/p/BsRhngMn5we/,,,,
136,SM,Conceição da Barra,Espirito Santo,ES,1/6/2019 0:00,1/6/2019,2,,,1 accident,,,hand,https://www.instagram.com/p/BsToAdjlSfo/,,,,
137,SM,Praia Selvagem,,RJ,,1/9/2019,,,,,,,,https://www.instagram.com/p/BsanI4jAnxE/,,,,
138,SM,Praia De Pau Amarelo Paulista Pernambuco,,PE,,1/10/2019,enormeocorrência,,,,,,,https://www.instagram.com/p/BsdcDeOhe4v/,,,,
139,SM,Praia Litoranea - São Luis Maranhâo,,MA,,1/20/2019,3,,,,,,,https://www.instagram.com/p/Bs2Jv7PFA5O/,,,,
140,SM,Praia do Sagi,,RN,,1/21/2019,,,,,,,,https://www.instagram.com/p/Bs5bmDUlDB8/,,,,
141,SM,Praia do Moçambique.,,SC,,1/21/2019,,,,,,,,https://www.instagram.com/p/BuJTo5vgwc6/,,,,
142,SM,Recife - Praia de Boa Viagem,,PE,,1/24/2019,3,,,,,,,https://www.instagram.com/p/BtBLQJ3AQtZ/,,,,
143,SM,Praia Bom Jesus,Enseada de Cabuçu,BA,,1/25/2019,,,,,,,,https://www.instagram.com/p/BtDxri4npTt/,,,,
144,SM,Recife - Praia de Boa Viagem,,PE,,1/27/2019,,,,,,,,https://www.instagram.com/p/BtImgBSFALL/,,,,
145,SM,"Praia De Stella Maris, Salvador, BA - Brasil",,BA,,1/28/2019,,,,,,,,https://www.instagram.com/p/BtLw-g6B6SB/,,,,
146,SM,Maracaipe Turismo,,PE,,1/29/2019,,,,,,,,https://www.instagram.com/p/BtOiylvHk9O/,,,,
147,SM,Praia de Ondina,,BA,,1/30/2019,,5 cm,,touching/ holding the jellyfish,,F,,https://www.instagram.com/p/BtRaZNSBycE/,,,,
148,SM,Recife - Praia de Boa Viagem,,PE,,1/31/2019,,,,,,,,https://www.instagram.com/p/BtS8hRxArW9/,,,,
149,SM,,Farol de Itapuã,BA,,2/3/2019,,,,,,,,https://www.instagram.com/p/Bta3EjDAEGU/,,,,
150,SM,Praia do Mosqueiro,,SE,,2/5/2019,,,,,,,,https://www.instagram.com/p/BthAz4AgtPb/,,,,
